user_id,al farissi,ali ibrahim,alvi syahrini utami,anggina primanita,annisa darmawahyuni,danny matthew saputra,deris stiawan,desty rodiah,dian palupi rini,julian supardi,junia kurniati,kanda januar miraswan,mastura diana marieska,muhammad naufal rachmatullah,novi yusliani,rifkie primartha,rizki kurniati
mhs_285,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
mhs_286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mhs_287,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
mhs_288,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mhs_289,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mhs_29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
mhs_290,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mhs_291,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mhs_292,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mhs_293,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
mhs_294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mhs_295,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mhs_296,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
mhs_297,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mhs_298,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
mhs_299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mhs_3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
mhs_30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
mhs_300,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
mhs_301,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
mhs_302,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
mhs_303,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mhs_304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mhs_305,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mhs_306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
mhs_307,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mhs_308,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mhs_309,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mhs_31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
mhs_310,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
mhs_311,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mhs_312,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mhs_313,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mhs_314,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mhs_315,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
mhs_316,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mhs_317,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
mhs_318,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mhs_319,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
mhs_32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mhs_320,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mhs_321,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
mhs_322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mhs_323,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mhs_324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
mhs_325,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mhs_326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mhs_327,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
mhs_328,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mhs_329,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mhs_33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
mhs_330,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
